model,split,accuracy,macro_precision,macro_recall,macro_f1,precision_hostile,recall_hostile,f1_hostile,support_hostile,precision_neutral,recall_neutral,f1_neutral,support_neutral,precision_friendly,recall_friendly,f1_friendly,support_friendly
NB_TFIDF,train,0.819047619047619,0.5784176029962547,0.5119047619047619,0.5231060606060606,0.9375,0.5357142857142857,0.6818181818181818,28,0.797752808988764,1.0,0.8875,71,0.0,0.0,0.0,6
NB_TFIDF,val,0.8181818181818182,0.5411764705882353,0.5333333333333333,0.5340909090909091,0.8,0.6666666666666666,0.7272727272727273,6,0.8235294117647058,0.9333333333333333,0.875,15,0.0,0.0,0.0,1
NB_TFIDF,test,0.8260869565217391,0.5964912280701754,0.5555555555555555,0.5607843137254902,1.0,0.6666666666666666,0.8,6,0.7894736842105263,1.0,0.8823529411764706,15,0.0,0.0,0.0,2
LR_TFIDF,train,0.819047619047619,0.5348912690684843,0.5479543930248155,0.5402469135802469,0.7692307692307693,0.7142857142857143,0.7407407407407407,28,0.8354430379746836,0.9295774647887324,0.88,71,0.0,0.0,0.0,6
LR_TFIDF,val,0.8636363636363636,0.5595238095238095,0.6222222222222222,0.5845648604269295,0.75,1.0,0.8571428571428571,6,0.9285714285714286,0.8666666666666667,0.896551724137931,15,0.0,0.0,0.0,1
LR_TFIDF,test,0.8695652173913043,0.6111111111111112,0.6111111111111112,0.6060606060606061,1.0,0.8333333333333334,0.9090909090909091,6,0.8333333333333334,1.0,0.9090909090909091,15,0.0,0.0,0.0,2
LinearSVC_TFIDF,train,0.819047619047619,0.5348912690684843,0.5479543930248155,0.5402469135802469,0.7692307692307693,0.7142857142857143,0.7407407407407407,28,0.8354430379746836,0.9295774647887324,0.88,71,0.0,0.0,0.0,6
LinearSVC_TFIDF,val,0.8636363636363636,0.5595238095238095,0.6222222222222222,0.5845648604269295,0.75,1.0,0.8571428571428571,6,0.9285714285714286,0.8666666666666667,0.896551724137931,15,0.0,0.0,0.0,1
LinearSVC_TFIDF,test,0.8695652173913043,0.6111111111111112,0.6111111111111112,0.6060606060606061,1.0,0.8333333333333334,0.9090909090909091,6,0.8333333333333334,1.0,0.9090909090909091,15,0.0,0.0,0.0,2
RF_DENSE,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,28,1.0,1.0,1.0,71,1.0,1.0,1.0,6
RF_DENSE,val,0.9090909090909091,0.5968253968253968,0.6444444444444445,0.6188034188034188,0.8571428571428571,1.0,0.9230769230769231,6,0.9333333333333333,0.9333333333333333,0.9333333333333333,15,0.0,0.0,0.0,1
RF_DENSE,test,0.782608695652174,0.525925925925926,0.5333333333333333,0.5252525252525252,0.8,0.6666666666666666,0.7272727272727273,6,0.7777777777777778,0.9333333333333333,0.8484848484848485,15,0.0,0.0,0.0,2
GB_DENSE,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,28,1.0,1.0,1.0,71,1.0,1.0,1.0,6
GB_DENSE,val,0.8636363636363636,0.5595238095238095,0.6222222222222222,0.5845648604269295,0.75,1.0,0.8571428571428571,6,0.9285714285714286,0.8666666666666667,0.896551724137931,15,0.0,0.0,0.0,1
GB_DENSE,test,0.782608695652174,0.5411764705882353,0.5333333333333333,0.5340909090909091,0.8,0.6666666666666666,0.7272727272727273,6,0.8235294117647058,0.9333333333333333,0.875,15,0.0,0.0,0.0,2
MLP_DENSE,train,0.9904761904761905,0.9885057471264368,0.9444444444444445,0.9638490164805954,0.9655172413793104,1.0,0.9824561403508771,28,1.0,1.0,1.0,71,1.0,0.8333333333333334,0.9090909090909091,6
MLP_DENSE,val,0.9090909090909091,0.5968253968253968,0.6444444444444445,0.6188034188034188,0.8571428571428571,1.0,0.9230769230769231,6,0.9333333333333333,0.9333333333333333,0.9333333333333333,15,0.0,0.0,0.0,1
MLP_DENSE,test,0.8260869565217391,0.5964912280701754,0.5555555555555555,0.5607843137254902,1.0,0.6666666666666666,0.8,6,0.7894736842105263,1.0,0.8823529411764706,15,0.0,0.0,0.0,2
